Date,TweetNumber
2015/10/23,7.291
2015/10/24,6.542
2015/10/25,7.835
2015/10/26,7.844
2015/10/27,8.691
2015/10/28,8.236
2015/10/29,9.056
2015/10/30,10.304
2015/10/31,8.343
2015/11/01,8.812
2015/11/02,10.899
2015/11/03,16.001
2015/11/04,20.871
2015/11/05,16.929
2015/11/06,13.682
2015/11/07,10.435
2015/11/08,9.972
2015/11/09,10.435
2015/11/10,10.435
2015/11/11,10.435
2015/11/12,9.508
2015/11/13,9.276
2015/11/14,7.653
2015/11/15,7.885
2015/11/16,8.58
2015/11/17,8.348
2015/11/18,8.58
2015/11/19,9.044
2015/11/20,8.812
2015/11/21,9.044
2015/11/22,7.653
2015/11/23,8.58
2015/11/24,8.58
2015/11/25,8.58
2015/11/26,9.044
2015/11/27,8.812
2015/11/28,8.116
2015/11/29,7.421
2015/11/30,9.276
2015/12/01,9.276
2015/12/02,8.348
2015/12/03,8.116
2015/12/04,7.421
2015/12/05,8.348
2015/12/06,8.812
2015/12/07,9.508
2015/12/08,11.131
2015/12/09,23.19
2015/12/10,14.841
2015/12/11,12.059
2015/12/12,10.667
2015/12/13,9.972
2015/12/14,9.508
2015/12/15,10.435
2015/12/16,10.435
2015/12/17,9.972
2015/12/18,8.812
2015/12/19,9.044
2015/12/20,8.812
2015/12/21,9.044
2015/12/22,8.812
2015/12/23,9.044
2015/12/24,9.508
2015/12/25,8.812
2015/12/26,9.508
2015/12/27,9.276
2015/12/28,9.276
2015/12/29,9.276
2015/12/30,8.812
2015/12/31,7.653
2016/01/01,7.601
2016/01/02,8.269
2016/01/03,8.397
2016/01/04,8.821
2016/01/05,8.421
2016/01/06,8.269
2016/01/07,9.925
2016/01/08,10.272
2016/01/09,8.937
2016/01/10,8.385
2016/01/11,8.821
2016/01/12,8.461
2016/01/13,8.577
2016/01/14,8.089
2016/01/15,12.096
2016/01/16,13.007
2016/01/17,10.4
2016/01/18,10.516
2016/01/19,9.757
2016/01/20,10.464
2016/01/21,9.733
2016/01/22,9.361
2016/01/23,8.705
2016/01/24,8.309
2016/01/25,8.897
2016/01/26,8.565
2016/01/27,8.449
2016/01/28,8.089
2016/01/29,7.665
2016/01/30,7.869
2016/01/31,7.729
2016/02/01,8.19
2016/02/02,7.934
2016/02/03,8.574
2016/02/04,8.574
2016/02/05,7.294
2016/02/06,7.678
2016/02/07,8.062
2016/02/08,7.678
2016/02/09,8.062
2016/02/10,8.702
2016/02/11,8.702
2016/02/12,8.19
2016/02/13,7.934
2016/02/14,8.446
2016/02/15,8.83
2016/02/16,9.214
2016/02/17,9.214
2016/02/18,10.877
2016/02/19,9.854
2016/02/20,9.214
2016/02/21,9.214
2016/02/22,9.214
2016/02/23,8.446
2016/02/24,9.086
2016/02/25,8.574
2016/02/26,8.062
2016/02/27,8.19
2016/02/28,7.55
2016/02/29,8.318
2016/03/01,9.726
2016/03/02,8.702
2016/03/03,8.958
2016/03/04,9.086
2016/03/05,8.574
2016/03/06,8.318
2016/03/07,9.342
2016/03/08,8.318
2016/03/09,7.934
2016/03/10,7.806
2016/03/11,8.19
2016/03/12,7.678
2016/03/13,7.55
2016/03/14,8.446
2016/03/15,8.83
2016/03/16,8.19
2016/03/17,8.574
2016/03/18,8.19
2016/03/19,7.678
2016/03/20,7.55
2016/03/21,7.934
2016/03/22,8.702
2016/03/23,7.934
2016/03/24,7.934
2016/03/25,7.806
2016/03/26,7.55
2016/03/27,7.934
2016/03/28,8.318
2016/03/29,8.446
2016/03/30,8.702
2016/03/31,8.062
2016/04/01,7.782
2016/04/02,7.51
2016/04/03,7.446
2016/04/04,7.846
2016/04/05,7.966
2016/04/06,8.102
2016/04/07,8.102
2016/04/08,7.838
2016/04/09,7.71
2016/04/10,8.046
2016/04/11,8.63
2016/04/12,8.11
2016/04/13,7.71
2016/04/14,7.846
2016/04/15,7.974
2016/04/16,7.19
2016/04/17,7.246
2016/04/18,7.454
2016/04/19,7.902
2016/04/20,8.174
2016/04/21,8.838
2016/04/22,8.894
2016/04/23,8.254
2016/04/24,8.966
2016/04/25,9.493
2016/04/26,9.757
2016/04/27,8.646
2016/04/28,10.173
2016/04/29,9.046
2016/04/30,8.11
2016/05/01,8.158
2016/05/02,27.192
2016/05/03,16.315
2016/05/04,11.421
2016/05/05,12.78
2016/05/06,11.149
2016/05/07,9.789
2016/05/08,9.517
2016/05/09,10.061
2016/05/10,10.605
2016/05/11,8.973
2016/05/12,9.245
2016/05/13,9.245
2016/05/14,8.43
2016/05/15,8.158
2016/05/16,8.702
2016/05/17,8.702
2016/05/18,8.973
2016/05/19,9.245
2016/05/20,9.245
2016/05/21,7.886
2016/05/22,8.158
2016/05/23,8.702
2016/05/24,8.702
2016/05/25,8.973
2016/05/26,8.43
2016/05/27,9.517
2016/05/28,11.965
2016/05/29,12.78
2016/05/30,12.78
2016/05/31,13.324
2016/06/01,11.149
2016/06/02,9.789
2016/06/03,11.149
2016/06/04,11.965
2016/06/05,10.877
2016/06/06,11.149
2016/06/07,11.421
2016/06/08,10.333
2016/06/09,10.061
2016/06/10,9.789
2016/06/11,10.605
2016/06/12,15.228
2016/06/13,18.491
2016/06/14,15.5
2016/06/15,13.596
2016/06/16,17.131
2016/06/17,16.587
2016/06/18,14.412
2016/06/19,13.596
2016/06/20,14.412
2016/06/21,15.5
2016/06/22,14.684
2016/06/23,14.412
2016/06/24,21.21
2016/06/25,14.956
2016/06/26,12.237
2016/06/27,13.596
2016/06/28,12.78
2016/06/29,11.149
2016/06/30,12.509
2016/07/01,11.832
2016/07/02,11.011
2016/07/03,11.897
2016/07/04,10.772
2016/07/05,11.316
2016/07/06,11.25
2016/07/07,11.968
2016/07/08,11.658
2016/07/09,15.049
2016/07/10,12.516
2016/07/11,10.94
2016/07/12,11.011
2016/07/13,10.701
2016/07/14,10.087
2016/07/15,9.266
2016/07/16,9.402
2016/07/17,9.881
2016/07/18,9.266
2016/07/19,10.293
2016/07/20,9.473
2016/07/21,8.957
2016/07/22,9.06
2016/07/23,8.718
2016/07/24,8.718
2016/07/25,9.266
2016/07/26,9.951
2016/07/27,10.293
2016/07/28,8.652
2016/07/29,8.924
2016/07/30,8.891
2016/07/31,9.13
2016/08/01,9.906
2016/08/02,11.764
2016/08/03,20.639
2016/08/04,14.241
2016/08/05,11.145
2016/08/06,9.081
2016/08/07,10.319
2016/08/08,10.113
2016/08/09,9.287
2016/08/10,8.875
2016/08/11,9.081
2016/08/12,8.462
2016/08/13,8.875
2016/08/14,7.843
2016/08/15,8.668
2016/08/16,8.462
2016/08/17,9.287
2016/08/18,8.875
2016/08/19,8.668
2016/08/20,7.843
2016/08/21,8.049
2016/08/22,9.081
2016/08/23,9.494
2016/08/24,9.287
2016/08/25,8.668
2016/08/26,8.462
2016/08/27,8.668
2016/08/28,8.875
2016/08/29,8.668
2016/08/30,8.462
2016/08/31,8.255
2016/09/01,9.494
2016/09/02,8.255
2016/09/03,8.255
2016/09/04,9.081
2016/09/05,8.875
2016/09/06,8.462
2016/09/07,9.287
2016/09/08,10.113
2016/09/09,9.7
2016/09/10,9.7
2016/09/11,8.875
